transfer_id,source_state,sink_state,external_internal,species,sign_convention,routine,rate_state_variable,corresponding_balance_term,conservation_identity,known_discrepancy_id,evidence
P-PRECIPITATION,P-PO4-AQ,P-PRECIP,internal_phase,phosphorus,aqueous loss equals precipitated-P gain,Transgen / Transorp,Copo <-> Ampopr,Bapp storage change,ID-P-SORPTION,,Transgen.for; Transorp.for
P-INIT-PROJECTION,P-PO4-AQ/P-FAST/P-SLOW/P-PRECIP initial specification,same conserved P stores after initialization consistency projection,initialization_internal,phosphorus,total initial P should be invariant under purely representational partition projection,Inicalc_P / Transgen initial handling,Copo/Amcxfa/Amcxsl/Ampopr,Bapp initial storage and first-step residual,ID-P-INITIAL,TCD-014,TCD-014 causal evidence: subthreshold layer inconsistencies accumulate into first-step profile residual
NO3-NEGATIVE-CLIP-BRANCH,N-NO3,N-NO3 / boundary outflow,numerical_state_transition,NO3-N,local analytical solver residual must remain zero when nonnegative concentration constraint is applied,Transsub,Rsc/Reko reconstruction with Hv1,Bani transport residual,ID-SOLUTE-LAYER,TCD-015,TCD-015: Hv storage derivative double-counted in reconstructed zero-order term
NH4-SURFACE-DRYDOWN,N-NH4-AQ[layer0],EXT:undefined dry-solute continuation or outflow,state_model_gap,NH4-N,"when liquid storage vanishes, remaining solute mass must be retained in an alternate state or exported explicitly",Transsub,layer-0 Rsc=0 branch; Fu threshold,Banh residual,ID-DRYDOWN,TCD-016,TCD-016: positive Fu below 1e-6 causes remaining mass to be zeroed without alternate state
MP-DOM-C-MATRIX-X,MP-DOM-C,DOM-L-C,internal,organic matter,positive macropore-to-matrix exchange; opposite sign is reverse transfer,MAPOTRANSPORT,FlMpOuIf and concentration terms,specialized macropore balance; main ledger incomplete,ID-MACROPORE-SOLUTE,TCD-025,MAPOTRANSPORT.FOR; Outbal_calc.for
MP-DOM-C-DIRECT-DRAIN,MP-DOM-C,EXT:drain-system,external_out,organic matter,positive direct macropore drainage mass export,MAPOTRANSPORT,FlMpOuDr*CoMp,Dra4 intended; main integration incomplete by family,ID-MACROPORE-SOLUTE,TCD-025,MAPOTRANSPORT.FOR; Outbal_calc.for
MP-DON-MATRIX-X,MP-DON,DOM-L-N,internal,organic N,positive macropore-to-matrix exchange; opposite sign is reverse transfer,MAPOTRANSPORT,FlMpOuIf and concentration terms,specialized macropore balance; main ledger incomplete,ID-MACROPORE-SOLUTE,TCD-025,MAPOTRANSPORT.FOR; Outbal_calc.for
MP-DON-DIRECT-DRAIN,MP-DON,EXT:drain-system,external_out,organic N,positive direct macropore drainage mass export,MAPOTRANSPORT,FlMpOuDr*CoMp,Dra4 intended; main integration incomplete by family,ID-MACROPORE-SOLUTE,TCD-025,MAPOTRANSPORT.FOR; Outbal_calc.for
MP-DOP-MATRIX-X,MP-DOP,DOM-L-P,internal,organic P,positive macropore-to-matrix exchange; opposite sign is reverse transfer,MAPOTRANSPORT,FlMpOuIf and concentration terms,specialized macropore balance; main ledger incomplete,ID-MACROPORE-SOLUTE,TCD-025,MAPOTRANSPORT.FOR; Outbal_calc.for
MP-DOP-DIRECT-DRAIN,MP-DOP,EXT:drain-system,external_out,organic P,positive direct macropore drainage mass export,MAPOTRANSPORT,FlMpOuDr*CoMp,Dra4 intended; main integration incomplete by family,ID-MACROPORE-SOLUTE,TCD-025,MAPOTRANSPORT.FOR; Outbal_calc.for
MP-NH4-MATRIX-X,MP-NH4,N-NH4-AQ,internal,NH4-N,positive macropore-to-matrix exchange; opposite sign is reverse transfer,MAPOTRANSPORT,FlMpOuIf and concentration terms,specialized macropore balance; main ledger incomplete,ID-MACROPORE-SOLUTE,TCD-025,MAPOTRANSPORT.FOR; Outbal_calc.for
MP-NH4-DIRECT-DRAIN,MP-NH4,EXT:drain-system,external_out,NH4-N,positive direct macropore drainage mass export,MAPOTRANSPORT,FlMpOuDr*CoMp,Dra4 intended; main integration incomplete by family,ID-MACROPORE-SOLUTE,TCD-025,MAPOTRANSPORT.FOR; Outbal_calc.for
MP-NO3-MATRIX-X,MP-NO3,N-NO3,internal,NO3-N,positive macropore-to-matrix exchange; opposite sign is reverse transfer,MAPOTRANSPORT,FlMpOuIf and concentration terms,specialized macropore balance; main ledger incomplete,ID-MACROPORE-SOLUTE,TCD-025,MAPOTRANSPORT.FOR; Outbal_calc.for
MP-NO3-DIRECT-DRAIN,MP-NO3,EXT:drain-system,external_out,NO3-N,positive direct macropore drainage mass export,MAPOTRANSPORT,FlMpOuDr*CoMp,Dra4 intended; main integration incomplete by family,ID-MACROPORE-SOLUTE,TCD-025,MAPOTRANSPORT.FOR; Outbal_calc.for
MP-PO4-MATRIX-X,MP-PO4,P-PO4-AQ,internal,PO4-P,positive macropore-to-matrix exchange; opposite sign is reverse transfer,MAPOTRANSPORT,FlMpOuIf and concentration terms,specialized macropore balance; main ledger incomplete,ID-MACROPORE-SOLUTE,TCD-025,MAPOTRANSPORT.FOR; Outbal_calc.for
MP-PO4-DIRECT-DRAIN,MP-PO4,EXT:drain-system,external_out,PO4-P,positive direct macropore drainage mass export,MAPOTRANSPORT,FlMpOuDr*CoMp,Dra4 intended; main integration incomplete by family,ID-MACROPORE-SOLUTE,TCD-025,MAPOTRANSPORT.FOR; Outbal_calc.for
REPORT-DETAILED-REDIS-OM,state redistribution events,REPORT-DETAILED-TRANS,reporting_only,organic matter,accumulate each slot from its own prior value; no state mutation,Outbal_calc,Bafom(slot),detailed transformation output,ID-REPORT-ACCUM,,Outbal_calc.for
REPORT-DETAILED-REDIS-N,state redistribution events,REPORT-DETAILED-TRANS,reporting_only,nitrogen,accumulate each slot from its own prior value; no state mutation,Outbal_calc,Bafon(slot),detailed transformation output,ID-REPORT-ACCUM,,Outbal_calc.for
REPORT-DETAILED-REDIS-P,state redistribution events,REPORT-DETAILED-TRANS,reporting_only,phosphorus,accumulate each slot from its own prior value; no state mutation,Outbal_calc,Bafop(slot),detailed transformation output,ID-REPORT-ACCUM,TCD-027,"Bafop(24) is seeded from Bafop(25), changing detailed output only"
