state_id,quantity,class,canonical_owner,unit,dimensions,feature_guard,accepted_trial_role,initialization_source,checkpoint_requirement,restart_restore_rule,derived_recomputable,b3_status,blocker,evidence_refs
MP-007,macropore PO4 concentration,FEATURE_STATE_BLOCKED,ANIMO macropore solute owner,kg P m-3 water,[macropore_domain],macropores=on;p_cycle=on,ACCEPTED_OWNER_IF_FEATURE_ADMITTED;TRIAL_MUTABLE,legacy MP initial concentration,MANDATORY_IF_FEATURE_ADMITTED_AND_ENABLED,restore exact domain state; zero synthesis forbidden,no,BLOCKED_LOCAL_RESTART_FINDING_PENDING_B3_CANONICAL_ALLOCATION,TCD-025 main control-volume gap; RG02-LCL-MACROPORE-SOLUTE-RESTART-WRITER; no B2 reference,MP02;PREP12;PREP06
GHG-001,total CH4 system concentration,FEATURE_STATE_BLOCKED,ANIMO GHG owner,kg C m-3 system,[layer including 0],ghg=on,ACCEPTED_OWNER_IF_FEATURE_ADMITTED;TRIAL_MUTABLE,legacy methan initial condition,MANDATORY_IF_FEATURE_ADMITTED_AND_ENABLED,restore total owner then use only an admitted deterministic phase reconstruction,no,BLOCKED_GHG_RESTART_CONTRACT,Terf phase discontinuity and layer0 ponding reconstruction gap; no admitted B3 GHG,GHG01 restart audit
GHG-002,total N2O system concentration,FEATURE_STATE_BLOCKED,ANIMO GHG owner,kg N m-3 system,[layer including 0],ghg=on,ACCEPTED_OWNER_IF_FEATURE_ADMITTED;TRIAL_MUTABLE,legacy nitoxi initial condition,MANDATORY_IF_FEATURE_ADMITTED_AND_ENABLED,restore total owner then use only an admitted deterministic phase reconstruction,no,BLOCKED_GHG_RESTART_CONTRACT,Terf phase discontinuity and layer0 ponding reconstruction gap; no admitted B3 GHG,GHG01 restart audit
GHG-003,dissolved and gas phase CH4 views,DERIVED_RECOMPUTABLE,derived GHG phase view,kg C m-3 phase,[layer including 0],ghg=on,RECOMPUTE_AFTER_RESTORE_FROM_TOTAL_STATE_AND_ACCEPTED_THERMODYNAMICS,none,NOT_CHECKPOINTED_ONLY_AFTER_RECONSTRUCTION_CONTRACT_ADMITTED,recompute deterministically from admitted total owner plus exact accepted hydrology/temperature,yes,BLOCKED_DERIVATION_CONTRACT_NOT_ADMITTED,current legacy Terf/layer0 reconstruction is not sufficient,GHG01 restart audit;ARCH02
GHG-004,dissolved and gas phase N2O views,DERIVED_RECOMPUTABLE,derived GHG phase view,kg N m-3 phase,[layer including 0],ghg=on,RECOMPUTE_AFTER_RESTORE_FROM_TOTAL_STATE_AND_ACCEPTED_THERMODYNAMICS,none,NOT_CHECKPOINTED_ONLY_AFTER_RECONSTRUCTION_CONTRACT_ADMITTED,recompute deterministically from admitted total owner plus exact accepted hydrology/temperature,yes,BLOCKED_DERIVATION_CONTRACT_NOT_ADMITTED,current legacy Terf/layer0 reconstruction is not sufficient,GHG01 restart audit;ARCH02
GHG-005,hidden GHG task and phase coupling locals,UNRESOLVED_SCIENTIFIC_STATE,unresolved trial solver/science owner,mixed,[routine-specific trial arrays and scalars],ghg=on,TRIAL_ONLY_OR_RECOMPUTABLE_UNRESOLVED;NOT_ASSUMED_ACCEPTED_PHYSICS,legacy procedure-local cross-call persistence,NO_ACCEPTED_BOUNDARY_CHECKPOINT_FIELD_ADMITTED,make explicit trial state or deterministic recomputation only after GHG qualification,no,BLOCKED_HIDDEN_STATE_SEMANTICS,historical storage contract and intended trial-state semantics unresolved; do not canonize as physics,GHG01 task persistence audit
NUM-001,accepted generation identity,NUMERICAL_CONTINUATION,ANIMO transaction owner,identity,scalar,always,ACCEPTED_IDENTITY;NEW_ID_ON_ACCEPT,transaction initialization,MANDATORY,restore identity provenance and create compatible runtime accepted generation,no,READY_CANDIDATE_NOT_ADMITTED,transaction implementation/replay not yet B3,TIME01
NUM-002,configuration identity,NUMERICAL_CONTINUATION,ANIMO configuration owner,identity,scalar,always,IMMUTABLE_WITHIN_ACCEPTED_PROFILE,normalized configuration,MANDATORY,reject mismatch unless separately admitted migration,no,READY_CANDIDATE_NOT_ADMITTED,canonical CONFIG admission remains separate,TIME01;ARCH04
NUM-003,physical layout and geometry identity,NUMERICAL_CONTINUATION,ANIMO layout owner,identity,scalar,always,IMMUTABLE_WITHIN_ACCEPTED_PROFILE,validated model layout,MANDATORY,reject geometry/site-cardinality mismatch,no,READY_CANDIDATE_NOT_ADMITTED,canonical STATE admission not yet granted,ARCH02;ARCH04
NUM-004,calendar and accepted time identity,NUMERICAL_CONTINUATION,ANIMO time owner,time identity,scalar,always,ACCEPTED_BOUNDARY_IDENTITY;TRIAL_INTERVAL_BINDS_T0_T1,calendar/time initialization,MANDATORY,restore exact accepted boundary under same calendar contract,no,READY_CANDIDATE_NOT_ADMITTED,canonical TIME admission remains separate,TIME01;TS01
NUM-005,numerical and precision policy identity,NUMERICAL_CONTINUATION,ANIMO numerical policy owner,identity,scalar,always,IMMUTABLE_INTERPRETATION_METADATA,validated numerical configuration,MANDATORY_WHEN_REQUIRED_TO_REPRODUCE_STATE,reject incompatible interpretation or use separately admitted migration,no,READY_CANDIDATE_NOT_ADMITTED,numerical policies remain separately governed,ARCH02;TIME01
NUM-006,potential-pass and nonlinear solver scratch,DERIVED_RECOMPUTABLE,trial solver owner,mixed,[layer;iteration],always,G_PROVISIONAL_OR_TRIAL_ONLY,derived during trial,NOT_CHECKPOINTED_AT_ACCEPTED_BOUNDARY,discard on accept/reject; recompute on a new trial,yes,NOT_ACCEPTED_STATE,GHG-specific hidden persistence handled separately,TIME01;TS01
NUM-007,previous-neighbour and same-step derived transport views,DERIVED_RECOMPUTABLE,scheduler view,mixed,[layer],always,G_PREVIOUS_NEIGHBOR_OR_G_SAME_STEP_DERIVED,accepted owner state plus scheduler order,NOT_CHECKPOINTED_AS_SEPARATE_OWNER,reconstruct by admitted scheduler dependencies,yes,READY_CANDIDATE_NOT_ADMITTED,scheduler equivalence must preserve TS01 mixed-generation semantics,TS01;TIME01
REP-001,water and CNP balance period accumulators,DIAGNOSTIC_ONLY,report observer,mixed,[balance_set;term],reporting=on,G_REPORT_ONLY,report observer initialization,OPTIONAL_DIAGNOSTIC_CONTINUATION,restore only in separate diagnostic section when exact report continuity promised,no,NOT_PHYSICAL_B3_STATE,never use accumulator to repair missing owner state,PREP06;ARCH02;TIME01
REP-002,detailed organic transformation accumulators,DIAGNOSTIC_ONLY,report observer,mixed,[fraction;term;balance_set],detailed_reporting=on,G_REPORT_ONLY,report observer initialization,OPTIONAL_DIAGNOSTIC_CONTINUATION,restore only for promised exact report continuity,no,NOT_PHYSICAL_B3_STATE,TCD-027 reporting accumulator defects remain diagnostic,PREP06;ARCH02
REP-003,report period cursor and rollover state,DIAGNOSTIC_ONLY,report observer,time/index,scalar,reporting=on,G_REPORT_ONLY,report schedule initialization,OPTIONAL_DIAGNOSTIC_CONTINUATION,restore separately after physical accepted state; never defines acceptance,no,NOT_PHYSICAL_B3_STATE,mid-period output continuity is optional contract not physical state,ARCH02;TIME01
